1,2023-02-16 11:59:01.086000,,-15,-15,2023-02-16 11:59:01.082000,3,998
2,2023-02-16 11:59:01.104000,,15,15,2023-02-16 11:59:01.104000,3,991
3,2023-02-16 12:45:26.485000,,-15,-15,2023-02-16 12:45:26.484000,3,1004
4,2023-02-16 12:45:26.496000,,30,15,2023-02-16 12:45:26.495000,3,991
5,2023-02-16 12:47:01.061000,,-30,-15,2023-02-16 12:47:01.060000,3,1004
6,2023-02-16 12:47:01.073000,,45,15,2023-02-16 12:47:01.072000,3,991
7,2023-02-16 19:25:56.953000,,5,5,2023-02-16 19:25:56.948000,1,1020
8,2023-02-16 21:12:24.038000,,-15,-15,2023-02-16 21:12:24.034000,3,1021
9,2023-02-16 21:12:24.053000,,40,15,2023-02-16 21:12:24.053000,3,1016
10,2023-02-16 21:14:20.581000,,25,-15,2023-02-16 21:14:20.580000,3,1016
11,2023-02-16 21:14:20.594000,,0,15,2023-02-16 21:14:20.594000,3,1021
12,2023-02-16 21:23:41.185000,,30,5,2023-02-16 21:23:41.185000,1,1016
13,2023-02-16 21:24:24.289000,,35,5,2023-02-16 21:24:24.288000,1,1016
14,2023-02-16 22:15:27.803000,,55,-10,2023-02-16 22:15:27.798000,3,1006
15,2023-02-16 22:15:27.824000,,100,10,2023-02-16 22:15:27.824000,3,1008
16,2023-02-16 23:58:40.725000,,105,5,2023-02-16 23:58:40.725000,1,1008
17,2023-02-17 00:45:54.055000,,-15,-15,2023-02-17 00:45:54.055000,3,1026
18,2023-02-17 00:45:54.067000,,15,15,2023-02-17 00:45:54.067000,3,1025
19,2023-02-17 01:05:43.828000,,5,5,2023-02-17 01:05:43.823000,1,1023
20,2023-02-17 01:12:03.383000,,105,5,2023-02-17 01:12:03.383000,1,10
21,2023-02-17 01:17:37.371000,,110,5,2023-02-17 01:17:37.370000,1,10
22,2023-02-17 01:50:55.779000,,105,5,2023-02-17 01:50:55.772000,1,18
23,2023-02-17 02:29:50.999000,,100,-10,2023-02-17 02:29:50.995000,3,10
24,2023-02-17 02:29:51.021000,,115,10,2023-02-17 02:29:51.020000,3,18
25,2023-02-17 02:50:41.234000,,105,-10,2023-02-17 02:50:41.234000,3,18
26,2023-02-17 02:50:41.245000,,15,10,2023-02-17 02:50:41.245000,3,1
27,2023-02-17 02:55:11.718000,,90,-10,2023-02-17 02:55:11.718000,3,10
28,2023-02-17 02:55:11.728000,,25,10,2023-02-17 02:55:11.728000,3,1
29,2023-02-17 05:28:04.466000,,40,-10,2023-02-17 05:28:04.460000,3,1013
30,2023-02-17 05:28:04.515000,,35,10,2023-02-17 05:28:04.515000,3,1
31,2023-02-17 06:06:13.792000,,95,-10,2023-02-17 06:06:13.787000,3,18
32,2023-02-17 06:06:13.806000,,100,10,2023-02-17 06:06:13.805000,3,10
33,2023-02-17 06:06:35.774000,,85,-10,2023-02-17 06:06:35.774000,3,18
34,2023-02-17 06:06:35.784000,,110,10,2023-02-17 06:06:35.783000,3,10
35,2023-02-17 06:09:20.821000,,90,5,2023-02-17 06:09:20.820000,1,18
36,2023-02-17 06:53:57.353000,,75,-15,2023-02-17 06:53:57.349000,3,18
37,2023-02-17 06:53:57.369000,,125,15,2023-02-17 06:53:57.369000,3,10
38,2023-02-17 08:54:25.099000,,110,-15,2023-02-17 08:54:25.094000,3,10
39,2023-02-17 08:54:25.117000,,20,15,2023-02-17 08:54:25.117000,3,1023
40,2023-02-17 08:57:22.333000,,95,-15,2023-02-17 08:57:22.333000,3,10
41,2023-02-17 08:57:22.344000,,35,15,2023-02-17 08:57:22.344000,3,1023
42,2023-02-17 09:20:19.341000,,20,-15,2023-02-17 09:20:19.340000,3,1023
43,2023-02-17 09:20:19.355000,,90,15,2023-02-17 09:20:19.355000,3,1003
44,2023-02-17 09:21:10.896000,,5,-15,2023-02-17 09:21:10.896000,3,1023
45,2023-02-17 09:21:10.910000,,105,15,2023-02-17 09:21:10.909000,3,1003
46,2023-02-17 09:27:06.289000,,0,-5,2023-02-17 09:27:06.289000,3,1023
47,2023-02-17 09:27:06.299000,,110,5,2023-02-17 09:27:06.298000,3,1003
